id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_permukaan,panjang_ruas_jalan,satuan,tahun
147,32,JAWA BARAT,3274,KOTA CIREBON,LAINNYA,0.6,KILOMETER,2020
148,32,JAWA BARAT,3275,KOTA BEKASI,ASPAL,18.56,KILOMETER,2020
149,32,JAWA BARAT,3275,KOTA BEKASI,TIDAK DI ASPAL,0.0,KILOMETER,2020
150,32,JAWA BARAT,3275,KOTA BEKASI,LAINNYA,3.4,KILOMETER,2020
151,32,JAWA BARAT,3276,KOTA DEPOK,ASPAL,9.07,KILOMETER,2020
152,32,JAWA BARAT,3276,KOTA DEPOK,TIDAK DI ASPAL,0.0,KILOMETER,2020
153,32,JAWA BARAT,3276,KOTA DEPOK,LAINNYA,2.66,KILOMETER,2020
154,32,JAWA BARAT,3277,KOTA CIMAHI,ASPAL,9.26,KILOMETER,2020
155,32,JAWA BARAT,3277,KOTA CIMAHI,TIDAK DI ASPAL,0.0,KILOMETER,2020
156,32,JAWA BARAT,3277,KOTA CIMAHI,LAINNYA,0.1,KILOMETER,2020
157,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ASPAL,28.67,KILOMETER,2020
158,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TIDAK DI ASPAL,0.0,KILOMETER,2020
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAINNYA,1.3,KILOMETER,2020
160,32,JAWA BARAT,3279,KOTA BANJAR,ASPAL,8.37,KILOMETER,2020
161,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK DI ASPAL,0.0,KILOMETER,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,LAINNYA,0.6,KILOMETER,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,ASPAL,82.35,KILOMETER,2021
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK DI ASPAL,0.0,KILOMETER,2021
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,50.46,KILOMETER,2021
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ASPAL,305.36,KILOMETER,2021
167,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK DI ASPAL,0.0,KILOMETER,2021
168,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,8.56,KILOMETER,2021
169,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ASPAL,131.72,KILOMETER,2021
170,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK DI ASPAL,0.0,KILOMETER,2021
171,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAINNYA,54.68,KILOMETER,2021
172,32,JAWA BARAT,3204,KABUPATEN BANDUNG,ASPAL,91.36,KILOMETER,2021
173,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK DI ASPAL,0.0,KILOMETER,2021
174,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAINNYA,91.36,KILOMETER,2021
175,32,JAWA BARAT,3205,KABUPATEN GARUT,ASPAL,286.03,KILOMETER,2021
176,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK DI ASPAL,0.0,KILOMETER,2021
177,32,JAWA BARAT,3205,KABUPATEN GARUT,LAINNYA,0.0,KILOMETER,2021
178,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,ASPAL,115.37,KILOMETER,2021
179,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK DI ASPAL,0.0,KILOMETER,2021
180,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAINNYA,1.25,KILOMETER,2021
181,32,JAWA BARAT,3207,KABUPATEN CIAMIS,ASPAL,28.63,KILOMETER,2021
182,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK DI ASPAL,0.0,KILOMETER,2021
183,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAINNYA,0.0,KILOMETER,2021
184,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,ASPAL,86.33,KILOMETER,2021
185,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK DI ASPAL,0.0,KILOMETER,2021
186,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAINNYA,0.0,KILOMETER,2021
187,32,JAWA BARAT,3209,KABUPATEN CIREBON,ASPAL,62.49,KILOMETER,2021
188,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK DI ASPAL,0.0,KILOMETER,2021
189,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAINNYA,9.88,KILOMETER,2021
190,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,ASPAL,125.83,KILOMETER,2021
191,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK DI ASPAL,0.0,KILOMETER,2021
